ID_author;automated_readability_index;coleman_liau_index;flesch_kincaid_grade_level;flesch_reading_ease;gulpease_index;gunning_fog_index;lix;smog_index;wiener_sachtextformel
590;7,95923E+15;7,90E+15;1,01E+16;5,54E+16;6,24E+14;1,43E+16;3,69E+15;1,33E+16;5,73E+15
597;7,67395E+16;1,17E+15;7,15E+15;5,93E+14;7,09E+15;8,73E+15;2,84E+16;9,24E+14;3,29E+16
597;7,58878E+15;7,65E+15;7,55E+14;7,27E+15;6,31E+16;1,12E+16;3,75E+15;1,08E+16;4,18E+16
602;3,87793E+16;5,64E+16;4,86E+16;8,24E+15;7,26E+15;8,49E+15;2,92E+16;9,10E+15;2,55E+16
602;1,36769E+16;3,42E+15;3,07E+15;9,11E+15;8,10E+14;6,52E+15;2,25E+15;7,65E+16;9,09E+15
660;3,07402E+16;4,55E+15;4,19E+15;8,76E+15;7,41E+15;6,75E+15;2,64E+15;73011;1,23E+15
660;1,91929E+16;4,75E+14;4,42E+15;7,59E+14;8,97E+14;5,66E+16;1,41E+16;7,17E+16;5,02E+15
692;8,9606E+15;1,08E+16;8,43E+15;6,13E+15;604;116;4,03E+15;1,14E+16;5,49E+16
692;6,53749E+15;7,22E+15;6,81E+16;7,50E+15;6,53E+15;9,75E+15;3,54E+15;9,73E+15;3,53E+16
702;2,68495E+16;5,19E+15;4,16E+14;8,26E+15;7,90E+15;7,53E+15;2,59E+16;8,50E+15;2,09E+16
702;7,515E+16;8,75E+15;6,44E+15;7,65E+15;6,34E+16;9,43E+15;3,81E+15;9,52E+15;3,83E+15
717;4,52631E+15;7,30E+15;5,38E+15;7,48E+15;7,40E+15;8,00E+15;3,17E+15;8,84E+15;3,27E+16
717;3,55286E+16;5,96E+15;4,61E+16;8,10E+15;7540625;6,77E+16;3,10E+16;7,79E+15;2,45E+16
737;2,51578E+16;4,92E+15;3,43E+15;8,81E+15;7,90E+15;6,35E+15;2,37E+15;7,52E+15;1,11E+16
737;3,74308E+16;5,79E+15;3,40E+15;9,16E+15;7,36E+15;6,05E+15;2,71E+16;6,74E+15;1,08E+15
759;2,28287E+16;3,95E+15;4,68E+15;8240875;7,67E+15;8,96E+15;2,98E+16;9,52E+15;2,92E+16
759;6,11674E+15;5,17E+15;6,48E+14;8,25E+15;6,65E+15;8,44E+15;2,43E+15;6,74E+15;8,45E+15
825;1,52775E+16;4,17E+16;27225;8,98E+15;8625;72;255;8,24E+15;1928725
825;-4,51829E+15;1,10E+16;7,83E+15;1,08E+15;8,46E+15;4,10E+16;1,27E+16;31291;-1,96E+16
855;6,78007E+16;8,00E+14;6,25E+16;7,72E+14;6,50E+15;9,72E+15;3,44E+13;9,85E+15;3,39E+16
855;9166;7,88E+16;8,67E+15;7,03E+15;6,06E+15;1,11E+16;4,00E+15;9,89E+15;4,03E+15
864;2,59785E+15;4,52E+15;4,08E+14;8,60E+15;7,65E+15;7,62E+15;2,90E+15;8,47E+15;2,20E+15
864;3,77324E+14;5,32E+15;4,08E+15;8,87E+14;7,24E+15;7,22E+15;3,10E+16;7,79E+15;1,98E+16
891;3,2183E+16;5,29E+15;4,68E+16;8,17E+15;7,52E+15;8,35E+15;2,42E+16;9,07E+15;2,01E+15
891;2,81554E+15;5,62E+15;3,50E+16;8,55E+15;8,11E+15;5,58E+15;2,43E+15;6,98E+15;1,16E+16
894;6,08468E+15;7,13E+15;7,00E+15;7,19E+15;6,65E+15;1,02E+15;3,29E+16;1,03E+16;3,55E+16
894;7,10648E+15;9,80E+15;7,58E+15;6,24E+15;6,60E+13;1,09E+15;3,96E+15;1,09E+16;5,52E+15
897;2,54975E+15;4,59E+15;3,89E+15;8,67E+15;7,71E+15;6,33E+15;2,22E+16;73011;8,24E+15
897;6,83182E+15;8,60E+15;6,90E+16;7,07E+15;6,53E+15;9,42E+15;3,49E+15;9,73E+15;3,71E+16
905;2,80673E+16;5,11E+16;4,90E+15;7,85E+15;774;7,37E+15;2,64E+16;8,34E+15;2,06E+16
905;3,30956E+16;4,42E+15;5,16E+15;8,23E+15;7,30E+15;8,97E+15;2,54E+16;93871;2,08E+16
911;4,26287E+15;4,81E+16;4,09E+13;9,29E+15;7,03E+15;7,41E+15;2,67E+15;7,17E+16;9,56E+15
911;3,60395E+16;6,30E+15;5,45E+15;7,35E+15;7,68E+15;8,00E+15;2,51E+15;8,84E+15;2,33E+16
941;1,63667E+16;2,40E+15;30;8,84E+15;880;4,93E+15;2,03E+16;6,43E+14;4,29E+15
941;-1,47731E+15;2,16E+15;2,98E+15;8,66E+15;9,27E+15;6,05E+16;1,91E+16;7,45E+15;8,86E+15
987;4,21123E+15;6,44E+16;5,48E+15;7,63E+15;7,28E+15;7,85E+16;2,71E+16;8,65E+15;2,30E+15
987;8,05279E+13;7,97E+15;8,70E+15;6,53E+15;6,22E+16;1,23E+16;3,80E+16;1,18E+16;4,86E+15
1004;5,20385E+15;6,45E+15;6,02E+15;7,74E+15;6,86E+15;9,22E+15;3,13E+16;9,52E+15;2,95E+15
1004;3,71032E+14;5,25E+15;4,90E+14;8,29E+15;7,26E+15;8,65E+15;2,74E+15;9,19E+15;2,25E+16
1067;4,48544E+16;5,45E+15;5,94E+15;7,84E+15;7,01E+15;8,71E+15;3,01E+15;8,99E+14;2,54E+16
1067;-4,69071E+15;1,52E+16;2,32E+14;9,40E+15;8,81E+15;5,79E+16;1,66E+16;7,17E+16;-9,01E+15
1071;5,7005E+16;6,09E+15;6,60E+16;7,67E+15;6,71E+15;1,07E+16;3,12E+16;1,06E+16;3,25E+16
1071;1,52685E+16;3,33E+16;3,57E+16;8,90E+15;7,93E+14;6,57E+15;2,56E+16;7,55E+15;1,26E+16
1073;2,98692E+16;5,07E+15;4,33E+15;8,38E+15;7,59E+15;7,90E+16;2,53E+16;8,73E+14;1,89E+16
1073;2,86435E+16;4,68E+15;4,18E+15;8,60E+15;7,54E+15;7,22E+15;2,44E+16;8,05E+15;1,33E+16
1132;5,54904E+15;7,56E+15;5,33E+15;7,97E+14;6,87E+15;7,92E+15;3,37E+15;8,53E+15;2,95E+14
1132;2,41554E+15;4,08E+15;3,74E+15;8,93E+15;7,63E+15;6,04E+15;2,29E+16;6,67E+14;5,75E+15
1139;6,7434E+15;7,24E+15;7,25E+15;7,26E+15;6,49E+15;1,05E+16;3,34E+15;1,04E+16;3,58E+16
1139;4,16599E+16;5,22E+15;5,26E+15;8,26E+14;7,09E+15;8,16E+15;2,75E+15;8,50E+13;1,79E+16
1150;2,00371E+15;4,80E+15;3,53E+16;8,36E+14;8,61E+15;6,38E+15;2,56E+16;7,68E+15;1,85E+15
1150;4,17844E+15;6,28E+15;4,89E+16;8,11E+14;7,25E+15;8,39E+15;2,69E+16;9,07E+15;2,28E+16
1153;1,00064E+16;3,14E+16;1,88E+16;9,86E+15;8,29E+15;5,02E+16;1,85E+16;6,18E+14;-4,15E+15
1153;5,76667E+14;3,05E+15;1,16E+16;9,80E+15;9,64E+15;4,64E+14;1,69E+16;6,43E+14;-1,86E+16
1212;3,47097E+16;5,77E+16;4,67E+15;8,10E+14;7,52E+15;7,71E+15;2,72E+16;8,59E+15;2,23E+15
1212;1,52939E+16;3,96E+16;2,82E+16;9,09E+14;8,31E+15;5,62E+14;2,11E+15;6,98E+15;5,37E+15
1218;6,25162E+15;5,88E+14;7,01E+15;7,69E+15;6,60E+15;1,02E+16;3,17E+16;9,75E+15;2,81E+16
1218;2,53904E+15;4,73E+16;4,49E+15;8,17E+15;7,77E+15;7,38E+15;2,53E+16;8,34E+15;1,85E+16
1231;-1,64113E+16;2,15E+16;1,97E+16;9,31E+15;9,51E+15;4,89E+16;1,88E+15;6,60E+16;2,24E+15
