ID_author;economic_stress_total;isolation_total;substance_use_total;guns_total;domestic_stress_total;suicidality_total;punctuation
45;1;0;0;0;0;0;250
46;0;0;0;0;0;0;140
47;5;0;1;0;1;2;200
48;0;0;1;0;0;0;50
49;2;1;0;0;0;2;510
54;0;0;0;0;0;0;290
55;2;2;3;0;0;0;300
56;0;0;0;0;0;0;130
57;0;0;0;0;0;0;150
58;1;0;0;0;0;0;370
59;0;0;0;0;0;0;50
60;0;0;0;0;0;1;310
61;0;1;0;0;0;0;120
62;9;0;0;0;0;0;170
63;0;0;0;0;0;0;80
64;0;0;2;0;0;0;290
65;2;0;0;0;0;0;240
66;0;0;0;0;0;0;40
67;2;0;0;0;0;0;230
68;1;0;0;0;0;0;260
69;2;0;0;0;0;0;150
70;0;0;0;0;0;0;150
71;3;0;0;0;0;0;90
72;0;0;0;0;0;0;120
73;0;0;0;0;0;2;630
74;0;0;0;0;0;0;40
75;0;0;0;0;0;1;220
76;0;0;0;0;0;0;130
77;0;0;0;0;0;0;240
78;3;1;2;0;1;1;1200
79;0;0;0;0;0;0;50
80;0;0;0;0;0;0;140
81;0;0;0;0;0;1;300
82;0;0;0;0;0;0;240
83;1;0;0;0;0;0;120
86;1;0;0;0;0;0;250
87;0;0;0;0;0;0;360
88;1;0;3;0;0;0;190
89;0;0;1;0;1;1;90
90;0;0;0;0;0;0;450
91;0;0;0;0;0;0;150
92;0;1;0;0;0;1;130
93;1;0;0;0;0;0;40
94;0;0;0;0;0;0;100
95;1;0;1;0;0;0;160
96;0;0;1;0;0;0;20
97;5;1;0;0;0;0;1080
98;3;0;0;0;0;0;460
99;1;0;0;0;0;0;100
100;2;0;0;0;0;0;150
101;0;0;0;0;0;0;80
102;0;0;0;0;0;0;130
103;0;0;2;0;0;0;390
104;0;0;0;0;0;0;110
105;0;0;0;0;0;0;70
106;0;0;0;0;0;0;70
107;0;0;0;0;0;0;60
108;6;0;0;0;0;0;140
109;3;0;0;0;0;0;160
110;0;1;0;0;0;1;170
111;3;0;0;0;0;0;200
112;0;1;4;0;0;0;480
115;6;0;0;0;0;0;470
116;0;0;0;0;0;0;50
117;1;0;1;0;0;0;240
118;0;0;0;0;0;0;70
119;2;1;0;0;0;0;240
120;0;0;1;0;1;0;120
121;0;0;0;0;0;0;50
122;3;0;1;0;0;0;430
123;0;0;1;0;0;1;120
124;1;0;1;0;0;0;110
125;1;0;1;0;0;0;170
126;2;0;0;0;0;0;80
127;0;0;0;0;0;0;60
128;0;0;0;0;0;0;200
129;0;0;1;0;0;0;270
130;5;0;0;0;0;0;820
131;2;0;1;0;0;0;560
132;3;0;0;0;0;2;560
133;0;0;1;0;0;0;80
134;0;0;0;0;0;0;50
135;1;2;1;0;0;0;410
136;0;3;0;0;1;0;820
137;0;0;2;0;0;0;110
138;1;0;0;0;0;0;100
139;3;0;1;0;0;0;150
140;0;0;0;0;0;0;50
141;0;0;0;0;0;0;50
142;0;0;2;0;0;0;120
143;1;0;0;0;0;0;150
144;3;0;6;0;0;0;710
145;2;1;6;0;0;0;1980
146;0;0;2;0;0;0;290
147;0;0;0;0;0;0;80
150;1;0;0;0;0;0;100
151;3;0;0;0;0;0;260
152;0;2;0;0;0;0;200
153;0;0;0;0;0;0;150
154;1;0;0;0;0;0;70
155;0;0;1;0;0;1;140
156;0;0;1;0;0;0;110
157;0;0;0;0;0;0;340
158;2;0;0;0;0;0;550
159;2;0;0;0;0;0;280
160;0;0;0;0;0;0;300
163;0;0;0;0;0;0;40
164;0;0;0;0;0;0;240
165;0;0;0;0;0;0;290
166;0;0;0;0;0;0;40
167;1;0;0;0;0;0;610
168;6;0;0;0;1;0;650
169;0;0;0;0;0;0;320
170;0;0;0;0;0;0;50
171;3;0;0;0;0;0;400
172;0;0;0;0;0;0;280
173;0;0;0;0;0;0;130
176;0;0;0;0;0;0;260
177;0;0;1;0;0;0;60
178;1;0;1;0;0;0;140
179;0;0;1;0;0;0;180
180;2;0;0;0;0;0;190
181;0;0;0;0;0;0;60
182;2;2;5;0;0;1;830
183;0;0;0;0;0;0;60
184;1;0;0;0;0;0;240
185;1;0;0;0;0;1;280
186;1;0;0;0;0;0;50
187;1;1;1;0;0;0;300
188;0;0;0;0;0;0;390
189;0;2;0;0;0;1;280
192;0;0;0;0;0;0;150
193;0;0;0;0;0;0;170
194;0;0;0;0;0;0;50
195;2;0;1;0;0;0;280
196;0;1;0;0;0;0;560
