ID_author;sent_neg;sent_neu;sent_pos;sent_compound
89;254;652;94;-9319
90;201;69;109;-979
91;217;7,14E+15;69;-9456
92;412;531;57;-9913
93;364;636;0;-4588
94;104;856;4;-6199
95;17;76;7;-9857
96;58;789;153;4215
97;101;823;76;-8892
98;11;7,93E+15;97;-768
99;57;873;7;-516
100;21;655;134;-9689
101;35;762;202;7717
102;94;769;1,37E+16;4866
103;111;8,24E+15;65;-8993
104;153;611;235;7436
105;61;939;0;-2924
106;92;908;0;-5931
107;0;928;7,20E+15;3036
108;136;7,86E+15;78;-9219
109;44;926;29;1084
110;236;619;145;-911
111;8;902;9;9563
112;121;72;158;8947
115;146;762;93;-9904
116;56;6,86E+15;258;9423
117;8;721;199;9914
118;0;868;132;8173
119;267;67;63;-99
120;208;75;42;-9438
121;0;888;112;6767
122;58;773;1,69E+16;9927
123;384;578;38;-9952
124;341;626;33;-9723
125;109;836;55;-8291
126;0;902;98;7176
127;192;792;16;-8949
128;79;7;221;9186
129;109;8,03E+15;87;936
130;254;629;117;-9972
131;107;76;133;9514
132;53;836;112;9452
133;257;713;3;-9191
134;83;877;4;-6858
135;153;7,12E+15;135;2065
136;122;7,61E+15;117;-6603
137;119;841;41;-7946
138;109;758;133;431
139;1,69E+16;799;31;-9695
140;139;861;0;-6848
141;315;685;0;-9455
142;12;784;96;-2653
143;68;8;132;8516
144;138;748;115;-8162
145;133;772;94;-9953
146;163;6,56E+15;181;2705
147;5,40E+16;7,98E+15;1,48E+16;7538
150;41;7,88E+15;171;8727
151;135;7,93E+15;7,20E+15;-7622
152;107;7,96E+15;98;2876
153;122;789;9;-2913
154;3,60E+16;8,91E+15;73;4501
155;187;721;92;-946
156;96;848;56;-6642
157;111;8,54E+15;35;-911
158;7;7,51E+15;179;9979
159;48;8,14E+15;1,37E+16;9285
160;0;914;86;4404
163;138;7,71E+15;91;-8156
164;95;887;1,80E+16;-8386
165;13;7,24E+15;147;4355
166;0;823;177;5661
167;128;735;1,37E+16;8354
168;161;6,92E+15;147;-8662
169;115;706;18;9851
170;47;841;112;4291
171;116;835;49;-9501
172;189;741;7;-9828
173;99;774;126;1531
176;312;5,82E+15;105;-9948
177;65;855;8;1803
178;213;599;188;-8,08E+15
179;1,80E+16;563;419;9879
180;131;758;111;-7202
181;261;649;9;-9682
182;86;777;1,37E+16;986
183;313;511;1,76E+16;-7905
184;97;8,44E+15;59;-6023
185;91;8,81E+15;28;-9033
186;7;856;7,40E+15;-1779
187;115;812;7,40E+15;-8747
188;13;8,59E+15;1;-9333
189;146;634;219;936
192;0;847;153;8832
193;0;8,27E+15;173;8767
